,Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,0,301.231,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.220124,43.497
1,1,301.295,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.2853512,43.497
2,2,301.334,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.3246704,43.497
3,3,301.438,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.428912,43.497
4,4,301.447,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.4377512,38.664
5,5,301.542,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.5331536,38.664
6,6,301.6,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.5901512,41.081
7,7,301.648,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.6373952,41.081
8,8,301.749,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.7407224,41.081
9,9,301.752,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.7425512,41.081
10,10,301.85,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.8394776,41.081
11,11,301.904,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.8949512,43.497
12,12,301.935,3.834132843,13463.00049,4.159999267,64.5800017,208,4260.66992,1.029999991,444.5,95.12932641,301.925736,43.497
13,13,301.999,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0100098,43.497
14,14,302.02,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0098608,43.497
15,15,302.057,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0473512,55.58
16,16,302.103,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.0930712,55.58
17,17,302.173,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.1643944,55.58
18,18,302.209,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.1997512,55.58
19,19,302.255,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.2463856,55.58
20,20,302.331,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3213664,55.58
21,21,302.362,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3521512,60.413
22,22,302.398,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.3893368,60.413
23,23,302.471,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.4615744,60.413
24,24,302.514,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.5045512,60.413
25,25,302.548,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.5371648,60.413
26,26,302.627,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6158032,60.413
27,27,302.666,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6569512,60.413
28,28,302.7,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.6889552,60.413
29,29,302.773,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.7636312,60.413
30,30,302.819,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.8093512,55.58
31,31,302.852,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.8425744,55.58
32,32,302.932,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.920908,55.58
33,33,302.971,3.2630918,9204.000089,3.379999912,66.80999744,183,3436.149902,1.029999991,444.5,95.71056421,302.9617512,65.246
34,34,302.999,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0599977,65.246
35,35,303.011,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0010704,65.246
36,36,303.09,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.0806232,65.246
37,37,303.124,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.1141512,67.662
